Problem Name	00intro2	13ABDE	14FIRE	15LEAF	16ROFL	17JKLM	18ABC	19SPIN	20LAND	21SKW	22EVO	23NEAT	24MILK	25FROG	26GHI	27SALT	28RHOM
%(Ans3a_hint4)%	-	-	"Since you are entering an expression for the base, enter ""S"" into the highlighted area. "	-	"Since LF and RO are parallel, they have the same length. Since LF is %(Ans3_a)% %(unit1word)%, RO is also %(Ans3_a)% %(unit1word)% long. Enter %(Ans3_a)% in the highlighted field."	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase2)%"",col1.Question0a),""Question2 has given you %(trgtBase2)% = %(Ans3_a)%. Enter %(Ans3_a)% into the highlighted area."",concat(""Question2 has given you %(trgtBase2)% = %(Ans3_a)%. Since "",col1.Question0a,"" is parallel to %(trgtBase2)%, "",col1.Question0a,"" = %(Ans3_a)% as well."")),""Base must be a side of a parallelogram. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	-	"You can choose SP as the base too since NI and SP are parallel. Remember, parallel sides have the same length, and are perpendicular to the same height. Enter either NI or SP into the highlighted field."	Enter either AL or %(Base2_alt)% into the highlighted field.	-	-	"<%=ifThen(regExMatch(""%(trgtExpBase2)%"",col1.Question0a),""The base (%(Ans1_a)%) is %(Ans3_a)% %(unit1word)% long. Enter %(Ans3_a)% into the highlighted area."",concat(""Question2 has given you %(trgtBase2)% = %(Ans3_a)%. Since "",col1.Question0a,"" is parallel to %(trgtBase2)%, "",col1.Question0a,"" = %(Ans3_a)% as well.""))%>"	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase2)%"",col1.Question0a),""Question2 has given you %(trgtBase2)% = %(Ans3_a)%. Enter %(Ans3_a)% into the highlighted area."",concat(""Question2 has given you %(trgtBase2)% = %(Ans3_a)%. Since "",col1.Question0a,"" is parallel to %(trgtBase2)%, "",col1.Question0a,"" = %(Ans3_a)% as well."")),""Base must be a side of a parallelogram. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	x	-	"<%=ifThen(hasValue(col1.Question0a),ifThen(regExMatch(""%(trgtExpBase2)%"",col1.Question0a),""Question2 has given you %(trgtBase2)% = %(Ans3_a)%. Enter %(Ans3_a)% into the highlighted area."",concat(""Question2 has given you %(trgtBase2)% = %(Ans3_a)%. Since "",col1.Question0a,"" is parallel to %(trgtBase2)%, "",col1.Question0a,"" = %(Ans3_a)% as well."")),""Base must be a side of a parallelogram. Therefore, %(Ans1_a)% is the base. Enter its length into the highlighted area."")%>"	-
%(Ans3b_hint1)%	-	-	Write an expression that represents the length of the side adjacent to the base into the highlighted field.	-	"You can find the height if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	"You can find the height if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	-	"There are two possible heights in this problem. But in this case, you should choose the height with a known length!  "	"There are two possible heights in this problem. Your partner only measured AL, so you should find the height that is perpendicular to AL."	-	-	Enter the length of the segment that is adjacent to the base. Not sure which segment this is? What is the label of the segment you are looking for?	"<%=ifThen(hasValue(col2.Question0b),""Enter the length of MILK's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of MILK's height here."")%>"	"<%=ifThen(hasValue(col2.Question0b),""Enter the length of the parallelogram's height #1 here. You entered the correct label for height #1, so enter that segment's length here."",""Enter the length of the parallelogram's height #1 here."")%>"	-	"You can find the height if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	-
%(Ans3b_hint2)%	-	-	You have been told to use a specific letter for the side adjacent to the base. Which letter is this? Read the problem statement again if you don't remember.	-	"<%=ifThen(hasValue(col1.Question2a,col3.Question2c),""Your situation is 'Area' = 'base' * '?'. This means %(Ans3_a)% times an number gives you %(Ans3_c)%. What do you have to multiply to %(Ans3_a)% to turn it into %(Ans3_c)%?"",""Are you sure you are ready to answer this part?"")%>"	"<%=ifThen(hasValue(col1.Question2a,col3.Question2c),""Your situation is 'Area' = 'base' * '?'. This means %(Ans3_a)% times an number gives you %(Ans3_c)%. What do you have to multiply to %(Ans3_a)% to turn it into %(Ans3_c)%?"",""Are you sure you are ready to answer this part?"")%>"	-	Parallelogram %(geoName)% has two heights but only one height has its length measured. Which one is this? Read the problem statement again to make sure. 	You can find perpendicular segments by looking for the right angle symbol; it looks like tiny squares. But the segment AL is nowhere near them. Does this mean AL is not perpendicular to anything?	-	-	"Take a look at the diagram label of this column, or under ""%(heading2)%"". The label for the segment adjacent to the base is displayed as %(Ans1_b)%. Enter the length of %(Ans1_b)%."	"<%=ifThen(hasValue(col2.Question0b),""What is the label of MILK's height segment you entered right under '%(heading2)%'?"",""You have not entered the label for MILK's height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"<%=ifThen(hasValue(col2.Question0b),""What is the label of the height segment you entered right under '%(heading2)%'?"",""You have not entered the label for your height #1 yet. If you don't know which segment is height #1, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	-	"<%=ifThen(hasValue(col1.Question2a,col3.Question2c),""Your situation is 'Area' = 'base' * '?'. This means %(Ans3_a)% times an number gives you %(Ans3_c)%. What do you have to multiply to %(Ans3_a)% to turn it into %(Ans3_c)%?"",""Are you sure you are ready to answer this part?"")%>"	-
%(Ans3b_hint3)%	-	-	"Look at the statement below Question1: ""Just like the previous problem, use ""S"" for the base, and ""T"" for the side adjacent to the base."""	-	"<%=ifThen(hasValue(col1.Question2a,col3.Question2c),""Start thinking with very easy numbers. If 2 * '?' = 6, can you figure out what '?' is? You know that 2x3 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height(h), you need to know the base(b) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	"<%=ifThen(hasValue(col1.Question2a,col3.Question2c),""Start thinking with very easy numbers. If 2 * '?' = 6, can you figure out what '?' is? You know that 2x3 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height(h), you need to know the base(b) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	-	"%(geoName)%'s two heights are ST and IJ. The problem statement has only given you the length of ST, which is %(Ans4_b)% %(unit1word)% long."	"A parallel segment pair on a parallelograms is always perpendicular to the same height! Since AL is parallel to %(Base2_alt)%, both of them are perpendicular to the height in between them!"	-	-	"Re-read Question2 to find how long %(Ans1_b)% is. If you don't see it in the question statement, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(col2.Question0b),concat(""The label you entered under '%(heading2)%' is "",col2.Question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	"<%=ifThen(hasValue(col2.Question0b),concat(""The label you entered under '%(heading2)%' is "",col2.Question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_a)% and %(Ans1_b)% are perpendicular. Which one is the height?"")%>"	-	"<%=ifThen(hasValue(col1.Question2a,col3.Question2c),""Start thinking with very easy numbers. If 2 * '?' = 6, can you figure out what '?' is? You know that 2x3 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height(h), you need to know the base(b) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	-
%(Ans3b_hint4)%	-	-	"Since you are entering an expression for the side adjacent to the base, enter ""T"" into the highlighted area. "	-	"<%=ifThen(hasValue(col1.Question2a,col3.Question2c),""Now do the same thing with %(Ans3_c)%(area) and %(Ans3_a)%(base); divide %(Ans3_c)% by %(Ans3_a)%: %(Ans3_c)%/%(Ans3_a)% = %(Ans3_b)%."",""Make sure both the length of the base and the value of the area is filled before coming back to this field!"")%> "	"<%=ifThen(hasValue(col1.Question2a,col3.Question2c),""Now do the same thing with %(Ans3_c)%(area) and %(Ans3_a)%(base); divide %(Ans3_c)% by %(Ans3_a)%: %(Ans3_c)%/%(Ans3_a)% = %(Ans3_b)%."",""Make sure both the length of the base and the value of the area is filled before coming back to this field!"")%> "	-	Enter ST into the highlighted area.	AC is the height between AL and %(Base2_alt)%; it is perpendicular to both AL and %(Base2_alt)%. Enter AC into the highlighted area.	-	-	The side adjacent to the base (%(Ans1_b)%) is %(Ans3_b)% %(unit1word)% long. Enter %(Ans3_b)% into the highlighted area.	"<%=ifThen(hasValue(col2.Question0b),""%(Ans1_b)% is %(Ans3_b)% %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a parallelogram. So the base is %(Ans1_a)%. That only leaves %(Ans1_b)% to be the height. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(col2.Question0b),""%(Ans1_b)% is %(Ans3_b)% %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base #1 first. A base must be a side of a parallelogram. So the base #1 is %(Ans1_a)%. That only leaves %(Ans1_b)% to be height #1. Enter its length into the highlighted area."")%>"	-	"<%=ifThen(hasValue(col1.Question2a,col3.Question2c),""Now do the same thing with %(Ans3_c)%(area) and %(Ans3_a)%(base); divide %(Ans3_c)% by %(Ans3_a)%: %(Ans3_c)%/%(Ans3_a)% = %(Ans3_b)%."",""Make sure both the length of the base and the value of the area is filled before coming back to this field!"")%> "	-
%(Ans3c_hint1)%	-	"Think of ""S"" and ""T"" as ""secret codes"" that represent lengths. Right now, %(Ans1_a)% = S and %(Ans1_b)% = T. That means you can use ""S"" for other sides that have  the same length as %(Ans1_a)%, and ""T"" for other sides that have the same length as %(Ans1_b)%!"	"<%=ifThen(hasValue(col1.Question2a, col2.Question2b),""Enter the expression for %(geoName)%'s perimeter in the highlighted area. Think about what you did when you used %(Ans2_a)% and %(Ans2_b)% to figure out that the perimeter is %(Ans2_c)% %(unt1)%, but substitute S and T for '%(Ans2_a)%' and '%(Ans2_b)%!"",""Enter the expression for %(geoName)%'s perimeter in the highlighted area. A perimeter is the sum of the lengths of all sides on a geometry."")%>"	-	Enter the value of the parallelogram's area here. It is given in the statement for Question2.	Enter the value of the parallelogram's area here. It is given in the statement for Question2.	-	-	-	-	-	"You can find the height if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	Enter the length of the parallelogram CUKI's base here. Not sure which segment is the base? What is the label of the base segment?	"You are looking for the length of the base, %(trgtBase2)%, which is base #2. <%=ifThen(hasValue(col4.Question2d,col5.Question2e),""You can find the base(b), if the height(h) and the area(A) is given! Just remember that area (A) = 'base' * 'height'"",""What do you need to know in order to solve for the unknown base?"")%>"	-	Enter the value of the parallelogram's area here. It is given in the statement for Question2.	-
%(Ans3c_hint2)%	-	"Here is more hint: all parallelograms have a rule where two opposite sides are always PARALLEL, and have the SAME length! Using this rule, can you find the side that has the same length as %(Ans1_c)%?"	"<%=ifThen(hasValue(col1.Question2a, col2.Question2b),""If you figured out the perimeter already, how did you figure it out? You added lengths of all 4 sides: %(Ans2_a)%+%(Ans2_a)%+%(Ans2_b)%+(Ans2_b)% = %(Ans2_c)%. Now it is time to the do the same thing with 'S' and 'T'."",""Some of the expressions in this row is missing. Have you filled out the letters represented for %(Ans1_a)% and %(Ans1_b)% yet?"")%>"	-	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""%(unit2word)%"", it is likely that it is describing an area. Do you see such value in the statement for Question2? "	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""%(unit2word)%"", it is likely that it is describing an area. Do you see such value in the statement for Question2? "	-	-	-	-	-	"<%=ifThen(hasValue(col1.Question2a,col5.Question2e),""Your situation is 'Area' = 'base' * '?'. This means %(Ans3_a)% times an number gives you %(Ans3_e)%. What do you have to multiply to %(Ans3_a)% to turn it into %(Ans3_e)%?"",""Are you sure you are ready to answer this part?"")%>"	"Take a look at the diagram label of this column, or under ""%(heading3)%"". The base segment label is displayed as %(Ans1_c)%. Enter the length of %(Ans1_c)%."	"<%=ifThen(hasValue(col4.Question2d,col5.Question2e),""Your situation is 'Area' = '?' * 'height' where the base is represented as '?'. Solve for the base by dividing the area by the height! But which height should you use? Height #1 or height #2?"",""Are you sure you are ready to answer this part?"")%>"	-	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""%(unit2word)%"", it is likely that it is describing an area. Do you see such value in the statement for Question2? "	-
%(Ans3c_hint3)%	-	"The side opposite to %(Ans1_c)% is %(Ans1_a)%. Therefore, they are parallel and have the same length. This means they will share the same ""code"" representing the length too!"	"<%=ifThen(hasValue(col1.Question2a, col2.Question2b),""The length of %(Ans1_a)% is represented by 'S', and the length of %(Ans1_b)% is represented by 'T'. Since %(Ans1_a)% and FE have the equal length, they are both 'S'. Since %(Ans1_b)% and FI have the equal length, they are both 'T'. Now, add them all up!"",""In order to figure out the perimeter of the parallelogram, you must know the lengths of at least 1 base and 1 adjacent side. Please complete entering the letters represented by the sides of %(geoName)%!"")%>"	-	"%(Ans3_c)% %(unt2)% is the value of the area. Note that it's unit is ""%(unt2)%"" instead of just ""%(unt1)%""."	"%(Ans3_c)% %(unt2)% is the value of the area. Note that it's unit is ""%(unt2)%"" instead of just ""%(unt1)%""."	-	-	-	-	-	"<%=ifThen(hasValue(col1.Question2a,col5.Question2e),""Start thinking with very easy numbers. If 2 * '?' = 6, can you figure out what '?' is? You know that 2x3 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height, you need to know the base(b) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	"Re-read the question statement to find how long %(Ans1_a)% is. If you don't see it, remember that a parallel pair of segments on a parallelogram always have the SAME length!"	"<%=ifThen(hasValue(col4.Question2d,col5.Question2e),""You are solving for %(trgtBase2)%, which is base #2. You should use the height that is perpendicular to base #2."",""In order to solve for the base, you need to know the height(h) and the area(A) first. Have you filled out the length of the height and the value of the area yet?"")%>"	-	"%(Ans3_c)% %(unt2)% is the value of the area. Note that it's unit is ""%(unt2)%"" instead of just ""%(unt1)%""."	-
%(Ans3c_hint4)%	-	"The letter under %(Ans1_a)%'s column is ""%(Ans3_a)%"". Therefore %(Ans1_c)% is also ""%(Ans3_c)%"". Enter %(Ans3_c)% into the highlighted area."	"<%=ifThen(hasValue(col1.Question2a, col2.Question2b),""The expression for %(geoName)%'s perimeter is 'S+S+T+T'. Or, simply '2*(S+T)'."",""Fill in the expressions for FE and FI, then come back to this field!"")%>"	-	"Enter %(geoName)%'s area, %(Ans3_c)%."	"Enter %(geoName)%'s area, %(Ans3_c)%."	-	-	-	-	-	"<%=ifThen(hasValue(col1.Question2a,col5.Question2e),""Now do the same thing with %(Ans3_e)%(area) and %(Ans3_a)%(base); divide %(Ans3_e)% by %(Ans3_a)%: %(Ans3_e)%/%(Ans3_a)% = %(Ans3_c)%."",""Fill in the length of the base and the value of the area, then come back to this field!"")%>"	"<%=ifThen(regExMatch(""%(trgtExpBase1)%"",col1.Question0a),""The base (%(Ans1_a)%) is %(Ans2_a)% %(unit1word)% long. Enter %(Ans3_c)% into the highlighted area."",concat(""Question2 has given you %(trgtBase2)% = %(Ans3_c)%. Since "",col3.Question0c,"" is parallel to %(trgtBase2)%, "",col3.Question0c,"" = %(Ans3_c)% as well.""))%>"	"<%=ifThen(hasValue(col4.Question2d,col5.Question2e),concat(""Base #2 is perpendicular to height #2, which you entered as "",col4.Question0d,"". Solve for base #2 (%(trgtBase2)%) by dividing the length of height #2 by the area: %(Ans3_e)%/%(Ans3_d)% = %(Ans3_c)%.""),""Make sure both the length of the height and the value of the area is filled before coming back to this field!"")%>"	-	"Enter %(geoName)%'s area, %(Ans3_c)%."	-
%(Ans3d_hint1)%	-	"Think of ""S"" and ""T"" as ""secret codes"" to represent lengths. Right now, %(Ans1_a)% = S and %(Ans1_b)% = T. That means you can use ""S"" for other sides that have  the same length as %(Ans1_a)%, and ""T"" for other sides that have the same length as %(Ans1_b)%!"	-	-	-	-	-	-	-	-	-	A perimeter is the sum of the lengths of all the sides of a geometry.	"You can find the height of CUKI, if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	"<%=ifThen(hasValue(col4.Question0d),""Enter the length of the parallelogram's height #2 here. You entered the correct label for height #2, so enter that segment's length here."",""Enter the length of the parallelogram's height #2 here."")%>"	-	-	-
%(Ans3d_hint2)%	-	"Here is more hint: all parallelograms have a rule where two opposite sides are always PARALLEL, and have the SAME length! Using this rule, can you find the side that has the same length as %(Ans1_d)%?"	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(col1.Question2a,col2.Question2b),""You are only given the lengths of 2 sides this time: %(Ans1_a)% and %(Ans1_b)%. But did you know that parallel sides on a parallelogram have the equal length? That means you already know the lengths of two other sides, EA and AT."",""Are you sure you are ready to answer this part?"")%>"	"<%=ifThen(hasValue(col3.Question2c,col5.Question2e),""Your situation is 'Area' = 'base' * '?'. This means %(Ans3_a)% times an number gives you %(Ans3_e)%. What do you have to multiply to %(Ans3_a)% to turn it into %(Ans3_e)%?"",""Are you sure you are ready to answer this part?"")%>"	"<%=ifThen(hasValue(col4.Question0d),""What is the label of the height segment you entered right under '%(heading4)%'?"",""You have not entered the label for your height #2 yet. If you don't know which segment is height #2, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	-	-	-
%(Ans3d_hint3)%	-	"The side opposite to %(Ans1_d)% is %(Ans1_b)%. Therefore, they are parallel and have the same length. This means they will share the same ""code"" representing the length too!"	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(col1.Question2a,col2.Question2b),""NT and EA are both %(Ans3_a)%, and EN and AT are both %(Ans3_b)% %(unt1)%. You can either do %(Ans3_a)% + %(Ans3_b)% + %(Ans3_a)% + %(Ans3_b)% or the faster way, (%(Ans3_a)% + %(Ans3_b)%) * 2."",""In order to figure out the perimeter, you must know the lengths of at least 1 base and 1 side adjacent to the base.  Have you filled in lengths for %(Ans1_a)% and %(Ans1_b)%?"")%>"	"<%=ifThen(hasValue(col3.Question2c,col5.Question2e),""Start thinking with very easy numbers. If 2 * '?' = 6, can you figure out what '?' is? You know that 2x3 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for CUKI's height, you need to know the base(b) and the area(A) of CUKI first. Have you filled out the length of the base and the value of the area yet?"")%>"	"<%=ifThen(hasValue(col4.Question0d),concat(""The label you entered under '%(heading4)%' is "",col4.Question0d,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, %(Ans1_c)% and %(Ans1_d)% are perpendicular. Which one is the height?"")%>"	-	-	-
%(Ans3d_hint4)%	-	"The letter under %(Ans1_b)%'s column is ""%(Ans3_b)%"". Therefore %(Ans1_d)% is also ""%(Ans3_d)%"". Enter %(Ans3_d)% into the highlighted area."	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(col1.Question2a,col2.Question2b),""The perimeter of parallelogram %(geoName)% is (%(Ans3_a)% + %(Ans3_b)%) * 2 = %(Ans3_d)%."",""Fill in the lengths of %(Ans1_a)% and %(Ans1_b)%, then come back to this field!"")%>"	"<%=ifThen(hasValue(col3.Question2c,col5.Question2e),""Now do the same thing with %(Ans3_e)%(area) and %(Ans3_c)%(base); divide %(Ans3_e)% by %(Ans3_c)%: %(Ans3_e)%/%(Ans3_c)% = %(Ans3_d)%."",""Fill in the length of the base and the value of the area for the parallelogram CUKI, then come back to this field!"")%>"	"<%=ifThen(hasValue(col4.Question0d),""%(Ans1_b)% is %(Ans3_d)% %(unit1word)% long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a parallelogram. So the base #2 is %(Ans1_c)%. That only leaves %(Ans1_d)% to be height #2. Enter its length into the highlighted area."")%>"	-	-	-
%(Ans3e_hint1)%	-	"<%=ifThen(hasValue(col3.Question2c, col4.Question2d),""Enter the expression for %(geoName)%'s perimeter in the highlighted area. Think about what you did when you used lengths of all sides to figure out that the perimeter is %(Ans2_c)% %(unt1)%, but substitute S and T for each sides!"",""Enter the expression for %(geoName)%'s perimeter in the highlighted area. A perimeter is the sum of the lengths of all the sides of a geometry."")%>"	-	-	-	-	-	-	-	-	-	Enter the value of the parallelogram's area here. It is given in the statement for Question2.	You have two parallelograms with the same areas. Find either the area of MILK or CUKI and enter it into the highlighted area. %(q1-gloss-h1)%	Enter the value of the parallelogram's area here. It is given in the statement for Question2.	-	-	-
%(Ans3e_hint2)%	-	"<%=ifThen(hasValue(col3.Question2c, col4.Question2d),""If you figured out the perimeter already, how did you figure it out? You added lengths of all 4 sides: %(Ans2_a)%+%(Ans2_a)%+%(Ans2_b)%+(Ans2_b)% = %(Ans2_c)%. Now it is time to the do the same thing with 'S' and 'T'."",""Some of the expressions in this row is missing. Have you filled out the letters represented for %(Ans1_c)% and %(Ans1_d)% yet?"")%>"	-	-	-	-	-	-	-	-	-	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""%(unit2word)%"", it is likely that it is describing an area. Do you see such value in the statement for Question2? "	%(q1-gloss-h2)%	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""%(unit2word)%"", it is likely that it is describing an area. Do you see such value in the statement for Question2? "	-	-	-
%(Ans3e_hint3)%	-	"<%=ifThen(hasValue(col3.Question2c, col4.Question2d),""Think of 'S' and 'T' as secret codes to represent lengths. Since %(Ans1_a)%'s length is represented by 'S', '%(Ans2_a)%' can be replaced by 'S'. And Since %(Ans1_b)%'s length is represented by 'T', '%(Ans2_b)%' can be replaced by 'T'. Now, how would you replace '%(Ans2_a)% + %(Ans2_b)% + %(Ans2_a)% + %(Ans2_b)%' with S and T?"",""In order to figure out the perimeter of the parallelogram, you must know the lengths of at least 1 base and 1 adjacent side. Please complete entering the letters represented by the sides of %(geoName)%!"")%>"	-	-	-	-	-	-	-	-	-	"%(Ans3_e)% %(unt2)% is the value of the area. Note that it's unit is ""%(unt2)%"" instead of just ""%(unt1)%""."	The only set of base and height given in the Question2 is from the parallelogram MILK. Find its area using this formula: A = b * h. What is the length of the base? What is the length of the height?	"%(Ans3_e)% %(unt2)% is the value of the area. Note that it's unit is ""%(unt2)%"" instead of just ""%(unt1)%""."	-	-	-
%(Ans3e_hint4)%	-	"<%=ifThen(hasValue(col3.Question2c, col4.Question2d),""The expression for %(geoName)%'s perimeter is 'S+S+T+T'. Or, simply '2*(S+T)'."",""Fill in the expressions for BD and ED, then come back to this field!"")%>"	-	-	-	-	-	-	-	-	-	"Enter %(geoName)%'s area, %(Ans3_e)%."	"<%=ifThen(hasValue(col1.Question2a,col2.Question2b),concat(""All you have to do is multiply the length of the base ("",col1.Question0a,"" = %(Ans3_a)%) by the height (%(Ans1_c)% = %(Ans3_c)%). Therefore, A = %(Ans3_a)% * %(Ans3_c)%!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height of MILK! Come back to this field after you find their lengths!"")%>"	"Enter %(geoName)%'s area, %(Ans3_e)%."	-	-	-
																	
%(Ans4a_hint1)%	-	-	-	-	"You are looking for the length of the base, %(trgtBase3)%. <%=ifThen(hasValue(col2.Question3b,col3.Question3c),ifThen(regExMatch(""%(trgtExpBase3)%"",col1.Question0a),""You can find the base(b), if the height(h) and the area(A) is given! Just remember that area (A) = 'base' * 'height'."",concat(""Don't worry that the base label under %(heading1)% is different. "",col1.Question0a,"" and %(trgtBase3)% are parallel, so they have the same length! You can find the base(b), if height(h) and the area(A) is given! Just remember that area (A) = 'base' * 'height'."")),""What do you need to know in order to solve for the unknown base?"")%>"	"You are looking for the length of the base, %(trgtBase3)%. <%=ifThen(hasValue(col2.Question3b,col3.Question3c),ifThen(regExMatch(""%(trgtExpBase3)%"",col1.Question0a),""You can find the base(b), if the height(h) and the area(A) is given! Just remember that area (A) = 'base' * 'height'."",concat(""Don't worry that you entered a different base, "",col1.Question0a,"". "",col1.Question0a,"" and %(trgtBase3)% are parallel, so they have the same length! You can find the base(b), if height(h) and the area(A) is given! Just remember that area (A) = 'base' * 'height'."")),""What do you need to know in order to solve for the unknown base?"")%>"	-	"<%=ifThen(hasValue(col1.Question2a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	"<%=ifThen(hasValue(col1.Question2a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	-	-	"You are looking for the length of a base, which is labeled as NT. <%=ifThen(hasValue(col2.Question3b,col4.Question3d),ifThen(regExMatch(""%(trgtExpBase3)%"",col1.Question0a),""You can find the base(b), if the height(h) and the area(A) is given! Just remember that area (A) = 'base' * 'height'."",concat(""Don't worry that the base label under %(heading1)% is different. "",col1.Question0a,"" and %(trgtBase3)% are parallel, so they have the same length! You can find the base(b), if height(h) and the area(A) is given! Just remember that area (A) = 'base' * 'height'."")),""What do you need to know in order to solve for the unknown base?"")%>"	-	Enter the length of the parallelogram's base #1 here. Not sure which segment is base #1? What is the label of base #1?	-	"You are looking for the length of the base, %(trgtBase3)%. <%=ifThen(hasValue(col2.Question3b,col3.Question3c),ifThen(regExMatch(""%(trgtExpBase3)%"",col1.Question0a),""You can find the base(b), if the height(h) and the area(A) is given! Just remember that area (A) = 'base' * 'height'."",concat(""Don't worry that you entered a different base, "",col1.Question0a,"". "",col1.Question0a,"" and %(trgtBase3)% are parallel, so they have the same length! You can find the base(b), if height(h) and the area(A) is given! Just remember that area (A) = 'base' * 'height'."")),""What do you need to know in order to solve for the unknown base?"")%>"	-
%(Ans4a_hint2)%	-	-	-	-	"<%=ifThen(hasValue(col2.Question3b,col3.Question3c),""Your situation is 'Area' = '?' * 'height'. This means a number times %(Ans4_b)% gives you %(Ans4_c)%. What do you have to multiply to %(Ans4_b)% to turn it into %(Ans4_c)%?"",""Are you sure you are ready to answer this part?"")%>"	"<%=ifThen(hasValue(col2.Question3b,col3.Question3c),""Your situation is 'Area' = '?' * 'height'. This means a number times %(Ans4_b)% gives you %(Ans4_c)%. What do you have to multiply to %(Ans4_b)% to turn it into %(Ans4_c)%?"",""Are you sure you are ready to answer this part?"")%>"	-	"<%=ifThen(hasValue(col1.Question2a),concat(""The base you chose is "",col1.Question2a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the '%(rowLabel4)%' row to get help finding the base."")%>"	"<%=ifThen(hasValue(col1.Question2a),concat(""The base you chose is "",col1.Question2a,"". How long is this? Is the length given in the question statement?""),""You have not entered label for your base yet. If you don't know which segment is the base, try asking for the hints while in the '%(rowLabel4)%' row to get help finding the base."")%>"	-	-	"<%=ifThen(hasValue(col2.Question3b,col4.Question3d),""You can use the perimeter to find the base! A perimeter of a parallelogram is found by adding the lengths of all 4 sides. But, since a parallel pair of segments in a parallelogram has the same length, all you have to do is add 2 bases (%(Ans1_a)%), and 2 adjacent sides (%(Ans1_b)%) to get the perimeter."",""Can you think of something else other than an area (A = base * height) that uses the base in its calculation? "")%>"	-	"Take a look at the diagram label of this column, or under ""%(heading1)%"". The base #1 segment label is displayed as %(Ans1_a)%. Enter the length of %(Ans1_a)%."	-	"<%=ifThen(hasValue(col2.Question3b,col3.Question3c),""Your situation is 'Area' = '?' * 'height'. This means a number times %(Ans4_b)% gives you %(Ans4_c)%. What do you have to multiply to %(Ans4_b)% to turn it into %(Ans4_c)%?"",""Are you sure you are ready to answer this part?"")%>"	-
